,0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,track_names,artist_1,artist_2
0,,0.937,https://api.spotify.com/v1/audio-analysis/5qNh5WtzMbfpSj2jLlBkoD,0.634,245897.0,0.285,5qNh5WtzMbfpSj2jLlBkoD,0.000359,9.0,0.232,-14.007,0.0,0.0807,129.65,4.0,https://api.spotify.com/v1/tracks/5qNh5WtzMbfpSj2jLlBkoD,audio_features,spotify:track:5qNh5WtzMbfpSj2jLlBkoD,0.203,Your Power,Billie Eilish,
0,,0.0215,https://api.spotify.com/v1/audio-analysis/37BZB0z9T8Xu7U3e65qxFy,0.65,191014.0,0.825,37BZB0z9T8Xu7U3e65qxFy,2.44e-05,0.0,0.0936,-4.645,1.0,0.0325,118.091,4.0,https://api.spotify.com/v1/tracks/37BZB0z9T8Xu7U3e65qxFy,audio_features,spotify:track:37BZB0z9T8Xu7U3e65qxFy,0.593,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,Ariana Grande
0,,0.55,https://api.spotify.com/v1/audio-analysis/4dxeRrYgeAQ1F0uH9g04lN,0.463,193853.0,0.616,4dxeRrYgeAQ1F0uH9g04lN,0.0,7.0,0.446,-7.166,1.0,0.149,183.76,4.0,https://api.spotify.com/v1/tracks/4dxeRrYgeAQ1F0uH9g04lN,audio_features,spotify:track:4dxeRrYgeAQ1F0uH9g04lN,0.695,tystnar i luren,Miriam Bryant,Victor Leksell
0,,0.0086,https://api.spotify.com/v1/audio-analysis/5lsvS3ENLMRBNuDG4fn9Ki,0.716,200467.0,0.814,5lsvS3ENLMRBNuDG4fn9Ki,0.00101,8.0,0.0873,-5.345,1.0,0.039,117.004,4.0,https://api.spotify.com/v1/tracks/5lsvS3ENLMRBNuDG4fn9Ki,audio_features,spotify:track:5lsvS3ENLMRBNuDG4fn9Ki,0.571,Nån annan nu,Molly Sandén,
0,,0.0251,https://api.spotify.com/v1/audio-analysis/4Cz2101t2TdPKBsgb7O6dS,0.716,173855.0,0.691,4Cz2101t2TdPKBsgb7O6dS,0.0,5.0,0.106,-5.842,1.0,0.0428,128.023,4.0,https://api.spotify.com/v1/tracks/4Cz2101t2TdPKBsgb7O6dS,audio_features,spotify:track:4Cz2101t2TdPKBsgb7O6dS,0.342,Lose my mind,Myra Granberg,
0,,0.0697,https://api.spotify.com/v1/audio-analysis/0GJbfGoCNAE0SafM9LW0nF,0.532,184615.0,0.754,0GJbfGoCNAE0SafM9LW0nF,0.0,1.0,0.061,-6.834,0.0,0.223,90.992,4.0,https://api.spotify.com/v1/tracks/0GJbfGoCNAE0SafM9LW0nF,audio_features,spotify:track:0GJbfGoCNAE0SafM9LW0nF,0.717,VHS - Spotify Studio It’s Hits Recording,Benjamin Ingrosso,Cherrie
0,,0.0833,https://api.spotify.com/v1/audio-analysis/2sX7lJXsOYGP1Us6CqM9t1,0.689,226268.0,0.706,2sX7lJXsOYGP1Us6CqM9t1,0.0,1.0,0.105,-4.48,0.0,0.0312,106.52,4.0,https://api.spotify.com/v1/tracks/2sX7lJXsOYGP1Us6CqM9t1,audio_features,spotify:track:2sX7lJXsOYGP1Us6CqM9t1,0.623,Little Bit of Love,Tom Grennan,
0,,0.455,https://api.spotify.com/v1/audio-analysis/3g9Bd3dzWumpEYS381Veiz,0.837,149706.0,0.585,3g9Bd3dzWumpEYS381Veiz,0.0,2.0,0.0747,-5.69,1.0,0.0554,94.081,4.0,https://api.spotify.com/v1/tracks/3g9Bd3dzWumpEYS381Veiz,audio_features,spotify:track:3g9Bd3dzWumpEYS381Veiz,0.726,Ensam,Norlie & KKV,
0,,0.169,https://api.spotify.com/v1/audio-analysis/3CvTrke4gvhHcLSH8SBwuf,0.819,183000.0,0.425,3CvTrke4gvhHcLSH8SBwuf,0.0,0.0,0.056,-4.81,1.0,0.0495,120.04,4.0,https://api.spotify.com/v1/tracks/3CvTrke4gvhHcLSH8SBwuf,audio_features,spotify:track:3CvTrke4gvhHcLSH8SBwuf,0.829,Instruktionsboken,Miss Li,
0,,0.321,https://api.spotify.com/v1/audio-analysis/4iJyoBOLtHqaGxP12qzhQI,0.677,198082.0,0.696,4iJyoBOLtHqaGxP12qzhQI,0.0,0.0,0.42,-6.181,1.0,0.119,90.03,4.0,https://api.spotify.com/v1/tracks/4iJyoBOLtHqaGxP12qzhQI,audio_features,spotify:track:4iJyoBOLtHqaGxP12qzhQI,0.464,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,Daniel Caesar
